train,test
307.0458989,2.043064356
315.0217149,0.830245733
313.745996,0.809818506
309.6217887,0.800949335
317.3420508,0.786426306
307.3518765,0.787405014
312.7030551,0.789066315
314.6582644,0.810667276
315.561518,0.809503555
309.126267,0.814862013
310.7882943,0.832731009
317.9671433,0.814502239
329.03687,0.812004805
313.4107034,0.809731483
314.9053493,0.794258356
,
