words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
"last,x,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"module,last,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"module,last,return",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"traceback,last,module",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"last,recent,print",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"traceback,last,print",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"return,last,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"traceback,last,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"last,recent,x",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"traceback,last,return",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"traceback,last,x",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"traceback,line,module",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"traceback,line,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"loss,network,model",0.8,0.799384449,0.692307692,0.827586207,0.606060606,0.967741935,0.903225806
"loss,numpy,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,optimizer,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,output,model",0.826666667,0.823746035,0.740740741,0.827586207,0.64516129,0.967741935,0.9375
"loss,print,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"range,loss,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"return,loss,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,sequential,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,tensorflow,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,train,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"training,loss,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,tried,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,trying,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"using,loss,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"loss,x,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"np,loss,numpy",0.826666667,0.825885905,0.785714286,0.827586207,0.64516129,0.967741935,0.903225806
"range,loss,print",0.826666667,0.825885905,0.785714286,0.827586207,0.64516129,0.967741935,0.903225806
"return,loss,print",0.826666667,0.825885905,0.785714286,0.827586207,0.64516129,0.967741935,0.903225806
"training,loss,print",0.826666667,0.825885905,0.785714286,0.827586207,0.64516129,0.967741935,0.903225806
"print,loss,x",0.826666667,0.825885905,0.785714286,0.827586207,0.64516129,0.967741935,0.903225806
"training,loss,train",0.813333333,0.814541819,0.785714286,0.827586207,0.625,0.967741935,0.866666667
"module,recent,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"traceback,module,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"network,neural,model",0.84,0.83856658,0.692307692,0.857142857,0.705882353,1,0.9375
"training,network,model",0.84,0.83856658,0.692307692,0.857142857,0.705882353,1,0.9375
"np,numpy,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"numpy,print,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"numpy,x,model",0.826666667,0.827643884,0.740740741,0.827586207,0.666666667,1,0.903225806
"output,print,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"return,output,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"sequential,output,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"training,output,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"output,trying,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"output,x,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"range,print,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"return,print,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"sequential,print,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"train,print,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"training,print,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"print,trying,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"using,print,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"print,x,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"training,problem,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"problem,x,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"return,range,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"traceback,recent,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"return,self,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"return,training,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"using,return,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"return,x,model",0.826666667,0.827643884,0.740740741,0.827586207,0.666666667,1,0.903225806
"train,sequential,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"training,sequential,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"sequential,trying,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"using,sequential,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"sequential,x,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"shape,x,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"training,tensorflow,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"using,tensorflow,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"training,train,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"using,train,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"training,trying,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"using,training,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"training,x,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"using,trying,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"x,trying,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"using,x,model",0.84,0.841398351,0.740740741,0.857142857,0.705882353,1,0.903225806
"module,return,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"module,traceback,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"traceback,return,module",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"np,numpy,print",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"np,numpy,tensorflow",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"np,numpy,x",0.853333333,0.852588193,0.75862069,0.857142857,0.709677419,1,0.9375
"return,range,print",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"traceback,recent,print",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
