words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
version,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
expected,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
epochs,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
cpu,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
memory,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
attributeerror,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
last,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
class,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
result,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
help,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
type,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
however,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
object,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
optimizer,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
number,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
wrong,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
outputs,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
learning,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
getting,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
dimension,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
tf,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
attribute,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
classes,0.84,0.840245776,0.774193548,0.857142857,0.666666667,1,0.903225806
could,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
values,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
predict,0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
gpus,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
set,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
first,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
dimensions,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
list,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
