LR_acc_0,LR_f1_0,LR_auc_0,LR_acc_1,LR_f1_1,LR_auc_1,LR_acc_2,LR_f1_2,LR_auc_2,LR_acc_3,LR_f1_3,LR_auc_3,LR_acc_4,LR_f1_4,LR_auc_4,LR_acc_all,LR_f1_all,LR_auc_all,DT_acc_0,DT_f1_0,DT_auc_0,DT_acc_1,DT_f1_1,DT_auc_1,DT_acc_2,DT_f1_2,DT_auc_2,DT_acc_3,DT_f1_3,DT_auc_3,DT_acc_4,DT_f1_4,DT_auc_4,DT_acc_all,DT_f1_all,DT_auc_all,RF_acc_0,RF_f1_0,RF_auc_0,RF_acc_1,RF_f1_1,RF_auc_1,RF_acc_2,RF_f1_2,RF_auc_2,RF_acc_3,RF_f1_3,RF_auc_3,RF_acc_4,RF_f1_4,RF_auc_4,RF_acc_all,RF_f1_all,RF_auc_all,SVM_acc_0,SVM_f1_0,SVM_auc_0,SVM_acc_1,SVM_f1_1,SVM_auc_1,SVM_acc_2,SVM_f1_2,SVM_auc_2,SVM_acc_3,SVM_f1_3,SVM_auc_3,SVM_acc_4,SVM_f1_4,SVM_auc_4,SVM_acc_all,SVM_f1_all,SVM_auc_all,KNN_acc_0,KNN_f1_0,KNN_auc_0,KNN_acc_1,KNN_f1_1,KNN_auc_1,KNN_acc_2,KNN_f1_2,KNN_auc_2,KNN_acc_3,KNN_f1_3,KNN_auc_3,KNN_acc_4,KNN_f1_4,KNN_auc_4,KNN_acc_all,KNN_f1_all,KNN_auc_all
0.9122222222222223,0.6666666666666666,0.88,0.8933333333333333,0.6470588235294118,0.84,0.8211111111111111,0.4827586206896552,0.8,0.92,0.7096774193548387,0.88,0.8488888888888889,0.5517241379310345,0.8266666666666667,0.6133333333333333,0.6115771336343213,0.8791111111111112,0.6749999999999999,0.5,0.84,0.6083333333333333,0.375,0.7333333333333333,0.5916666666666667,0.3448275862068966,0.7466666666666667,0.7583333333333333,0.5882352941176471,0.8133333333333334,0.6166666666666667,0.3870967741935484,0.7466666666666667,0.44,0.4390319309036184,0.65,0.9166666666666666,0.5384615384615384,0.84,0.9011111111111111,0.6060606060606061,0.8266666666666667,0.9083333333333333,0.6206896551724138,0.8533333333333334,0.9238888888888889,0.7142857142857143,0.8933333333333333,0.845,0.5882352941176471,0.8133333333333334,0.6133333333333333,0.613546561619584,0.899,0.9255555555555556,0.6666666666666666,0.88,0.908888888888889,0.5882352941176471,0.8133333333333334,0.8166666666666667,0.5517241379310345,0.8266666666666667,0.9166666666666667,0.7586206896551724,0.9066666666666666,0.8222222222222222,0.5806451612903226,0.8266666666666667,0.6266666666666667,0.6291783899321686,0.8779999999999999,0.8966666666666667,0.7586206896551724,0.9066666666666666,0.8238888888888889,0.631578947368421,0.8133333333333334,0.7594444444444446,0.5517241379310345,0.8266666666666667,0.8716666666666668,0.7586206896551724,0.9066666666666666,0.75,0.56,0.8533333333333334,0.6533333333333333,0.6521088929219601,0.8203333333333335
0.9144444444444444,0.6153846153846154,0.8666666666666667,0.8955555555555555,0.6285714285714286,0.8266666666666667,0.8155555555555556,0.5,0.8133333333333334,0.9111111111111111,0.7096774193548387,0.88,0.8444444444444446,0.5333333333333333,0.8133333333333334,0.6,0.5973933593288432,0.8762222222222222,0.6,0.34782608695652173,0.8,0.575,0.3225806451612903,0.72,0.5666666666666667,0.3125,0.7066666666666667,0.7500000000000001,0.6,0.84,0.7166666666666668,0.5294117647058824,0.7866666666666666,0.4266666666666667,0.4224636993647389,0.6416666666666667,0.9044444444444444,0.5,0.84,0.915,0.625,0.84,0.8605555555555556,0.5,0.8133333333333334,0.8911111111111111,0.6666666666666666,0.8666666666666667,0.841111111111111,0.5555555555555556,0.7866666666666666,0.5733333333333334,0.5694444444444444,0.8824444444444444,0.93,0.6896551724137931,0.88,0.9044444444444444,0.5161290322580645,0.8,0.8122222222222222,0.42857142857142855,0.7866666666666666,0.9144444444444444,0.7586206896551724,0.9066666666666666,0.8277777777777777,0.5454545454545454,0.8,0.5866666666666667,0.5876861736706008,0.8777777777777777,0.8822222222222222,0.6206896551724138,0.8533333333333334,0.8544444444444446,0.6666666666666666,0.84,0.76,0.3870967741935484,0.7466666666666667,0.8766666666666668,0.6666666666666666,0.8666666666666667,0.7216666666666667,0.5,0.84,0.5733333333333334,0.568223952539859,0.8190000000000002
0.9166666666666667,0.7142857142857143,0.8933333333333333,0.9033333333333333,0.6470588235294118,0.84,0.8388888888888889,0.5,0.8133333333333334,0.9144444444444445,0.6875,0.8666666666666667,0.8455555555555556,0.5714285714285714,0.84,0.6266666666666667,0.6240546218487395,0.8837777777777778,0.6916666666666668,0.5185185185185185,0.8266666666666667,0.7416666666666667,0.5806451612903226,0.8266666666666667,0.6583333333333334,0.45161290322580644,0.7733333333333333,0.7666666666666666,0.6060606060606061,0.8266666666666667,0.6833333333333333,0.5,0.8133333333333334,0.5333333333333333,0.5313674378190507,0.7083333333333334,0.9111111111111111,0.5925925925925926,0.8533333333333334,0.8883333333333333,0.5333333333333333,0.8133333333333334,0.8833333333333333,0.5714285714285714,0.84,0.923888888888889,0.6666666666666666,0.8666666666666667,0.8505555555555555,0.5714285714285714,0.8,0.5866666666666667,0.587089947089947,0.8914444444444445,0.9322222222222223,0.7142857142857143,0.8933333333333333,0.9077777777777778,0.6060606060606061,0.8266666666666667,0.8300000000000001,0.5333333333333333,0.8133333333333334,0.91,0.7857142857142857,0.92,0.8455555555555556,0.5806451612903226,0.8266666666666667,0.64,0.6440078201368523,0.8851111111111111,0.8933333333333333,0.6470588235294118,0.84,0.8372222222222222,0.6111111111111112,0.8133333333333334,0.7922222222222222,0.46153846153846156,0.8133333333333334,0.8566666666666667,0.6428571428571429,0.8666666666666667,0.7727777777777778,0.6153846153846154,0.8666666666666667,0.6,0.5955900308841485,0.8304444444444444
0.9533333333333334,0.7878787878787878,0.9066666666666666,0.9411111111111111,0.7096774193548387,0.88,0.8566666666666667,0.5384615384615384,0.84,0.9099999999999999,0.6060606060606061,0.8266666666666667,0.8666666666666667,0.4444444444444444,0.8,0.6266666666666667,0.6173045592400431,0.9055555555555557,0.7833333333333333,0.6451612903225806,0.8533333333333334,0.675,0.4827586206896552,0.8,0.6166666666666667,0.3870967741935484,0.7466666666666667,0.8333333333333334,0.7333333333333333,0.8933333333333333,0.7166666666666666,0.5517241379310345,0.8266666666666667,0.56,0.5600148312940304,0.725,0.93,0.6666666666666666,0.8666666666666667,0.9288888888888889,0.6486486486486487,0.8266666666666667,0.7972222222222222,0.37037037037037035,0.7733333333333333,0.895,0.6923076923076923,0.8933333333333333,0.9183333333333333,0.6,0.84,0.6,0.5955986755986756,0.8938888888888888,0.9588888888888889,0.75,0.8933333333333333,0.9333333333333333,0.75,0.8933333333333333,0.8511111111111112,0.5185185185185185,0.8266666666666667,0.9066666666666666,0.6451612903225806,0.8533333333333334,0.8644444444444445,0.5714285714285714,0.84,0.6533333333333333,0.647021676053934,0.9028888888888889,0.8866666666666666,0.5161290322580645,0.8,0.8855555555555557,0.631578947368421,0.8133333333333334,0.6727777777777778,0.35714285714285715,0.76,0.7966666666666666,0.6,0.84,0.8222222222222222,0.43478260869565216,0.8266666666666667,0.52,0.507926689092999,0.8127777777777776
0.9500000000000001,0.7878787878787878,0.9066666666666666,0.9399999999999998,0.6875,0.8666666666666667,0.8533333333333334,0.5384615384615384,0.84,0.8988888888888888,0.625,0.84,0.8666666666666667,0.5185185185185185,0.8266666666666667,0.64,0.631471768971769,0.9017777777777777,0.7166666666666666,0.5517241379310345,0.8266666666666667,0.6666666666666666,0.48,0.8266666666666667,0.6416666666666667,0.42424242424242425,0.7466666666666667,0.7666666666666667,0.6428571428571429,0.8666666666666667,0.75,0.5714285714285714,0.8,0.5333333333333333,0.5340504552918347,0.7083333333333333,0.9311111111111111,0.7333333333333333,0.8933333333333333,0.93,0.6666666666666666,0.84,0.7972222222222222,0.4444444444444444,0.8,0.883888888888889,0.72,0.9066666666666666,0.9183333333333333,0.6875,0.8666666666666667,0.6533333333333333,0.6503888888888889,0.8921111111111111,0.9566666666666667,0.8125,0.92,0.9299999999999999,0.75,0.8933333333333333,0.8444444444444443,0.5925925925925926,0.8533333333333334,0.8977777777777778,0.6666666666666666,0.8666666666666667,0.8655555555555556,0.6206896551724138,0.8533333333333334,0.6933333333333334,0.6884897828863346,0.8988888888888888,0.8944444444444445,0.5806451612903226,0.8266666666666667,0.903888888888889,0.6666666666666666,0.8266666666666667,0.6572222222222222,0.3076923076923077,0.76,0.8088888888888889,0.6666666666666666,0.88,0.8049999999999999,0.5185185185185185,0.8266666666666667,0.56,0.5480378641668964,0.8138888888888889
0.9522222222222223,0.7878787878787878,0.9066666666666666,0.9466666666666667,0.75,0.8933333333333333,0.8600000000000001,0.56,0.8533333333333334,0.9111111111111112,0.625,0.84,0.8611111111111112,0.5,0.8133333333333334,0.6533333333333333,0.6445757575757576,0.9062222222222225,0.7083333333333334,0.56,0.8533333333333334,0.7416666666666667,0.5806451612903226,0.8266666666666667,0.625,0.4,0.76,0.8500000000000001,0.7272727272727273,0.88,0.7,0.5161290322580645,0.8,0.56,0.5568093841642228,0.725,0.9333333333333333,0.7096774193548387,0.88,0.9261111111111111,0.6111111111111112,0.8133333333333334,0.8011111111111111,0.4444444444444444,0.8,0.8888888888888888,0.6666666666666666,0.88,0.9172222222222223,0.5517241379310345,0.8266666666666667,0.6,0.596724755901619,0.8933333333333333,0.9577777777777777,0.8125,0.92,0.9433333333333332,0.7272727272727273,0.88,0.8522222222222222,0.56,0.8533333333333334,0.91,0.625,0.84,0.8677777777777778,0.5,0.8133333333333334,0.6533333333333333,0.6449545454545454,0.9062222222222222,0.8866666666666666,0.4827586206896552,0.8,0.9105555555555556,0.65,0.8133333333333334,0.6877777777777778,0.3448275862068966,0.7466666666666667,0.8050000000000002,0.6206896551724138,0.8533333333333334,0.8016666666666667,0.43478260869565216,0.8266666666666667,0.52,0.5066116941529236,0.8183333333333334
0.9133333333333333,0.5925925925925926,0.8533333333333334,0.96,0.7428571428571429,0.88,0.8677777777777778,0.45161290322580644,0.7733333333333333,0.9577777777777778,0.8387096774193549,0.9333333333333333,0.8,0.5384615384615384,0.84,0.64,0.632846770911287,0.8997777777777778,0.8416666666666667,0.7586206896551724,0.9066666666666666,0.7999999999999999,0.6896551724137931,0.88,0.6916666666666667,0.5,0.7866666666666666,0.7666666666666666,0.6060606060606061,0.8266666666666667,0.7333333333333333,0.5925925925925926,0.8533333333333334,0.6266666666666667,0.6293858121444329,0.7666666666666666,0.9161111111111111,0.7333333333333333,0.8933333333333333,0.9461111111111111,0.7894736842105263,0.8933333333333333,0.8972222222222223,0.6206896551724138,0.8533333333333334,0.9461111111111111,0.8571428571428571,0.9466666666666667,0.8277777777777778,0.64,0.88,0.7333333333333333,0.7281279059718261,0.9066666666666666,0.9122222222222223,0.5925925925925926,0.8533333333333334,0.9588888888888889,0.7647058823529411,0.8933333333333333,0.8711111111111112,0.5454545454545454,0.8,0.9522222222222222,0.8666666666666667,0.9466666666666667,0.7966666666666667,0.5384615384615384,0.84,0.6666666666666666,0.6615762451056568,0.8982222222222223,0.8994444444444444,0.7058823529411765,0.8666666666666667,0.9027777777777778,0.631578947368421,0.8133333333333334,0.8122222222222223,0.5185185185185185,0.8266666666666667,0.8922222222222222,0.8275862068965517,0.9333333333333333,0.8,0.45454545454545453,0.84,0.64,0.6276222960540244,0.8613333333333333
0.9155555555555555,0.6428571428571429,0.8666666666666667,0.9555555555555555,0.7428571428571429,0.88,0.8577777777777778,0.5161290322580645,0.8,0.96,0.8275862068965517,0.9333333333333333,0.8044444444444445,0.5185185185185185,0.8266666666666667,0.6533333333333333,0.649589608677484,0.8986666666666666,0.6916666666666668,0.5185185185185185,0.8266666666666667,0.7333333333333334,0.5625,0.8133333333333334,0.6583333333333334,0.45161290322580644,0.7733333333333333,0.7833333333333333,0.6451612903225806,0.8533333333333334,0.675,0.4827586206896552,0.8,0.5333333333333333,0.5321102665513122,0.7083333333333334,0.9083333333333332,0.7586206896551724,0.9066666666666666,0.9349999999999999,0.7894736842105263,0.8933333333333333,0.8672222222222222,0.6666666666666666,0.8666666666666667,0.9494444444444444,0.8571428571428571,0.9466666666666667,0.8661111111111112,0.64,0.88,0.7466666666666667,0.7423807795350446,0.9052222222222224,0.9211111111111112,0.6428571428571429,0.8666666666666667,0.9577777777777777,0.7647058823529411,0.8933333333333333,0.8655555555555555,0.5161290322580645,0.8,0.9644444444444444,0.7857142857142857,0.92,0.8044444444444444,0.4827586206896552,0.8,0.64,0.6384329927744179,0.9026666666666665,0.8977777777777778,0.6486486486486487,0.8266666666666667,0.8877777777777778,0.6153846153846154,0.8,0.8105555555555556,0.48,0.8266666666666667,0.8944444444444445,0.8,0.92,0.8394444444444444,0.3157894736842105,0.8266666666666667,0.6,0.571964547543495,0.866
0.9144444444444444,0.5925925925925926,0.8533333333333334,0.9577777777777777,0.7428571428571429,0.88,0.8655555555555555,0.5,0.7866666666666666,0.9566666666666667,0.8666666666666667,0.9466666666666667,0.8033333333333333,0.5384615384615384,0.84,0.6533333333333333,0.6481155881155881,0.8995555555555554,0.775,0.6666666666666666,0.88,0.8083333333333333,0.6666666666666666,0.8533333333333334,0.7666666666666666,0.6060606060606061,0.8266666666666667,0.7749999999999999,0.625,0.84,0.6249999999999999,0.4,0.8,0.6,0.5928787878787879,0.75,0.9083333333333334,0.75,0.8933333333333333,0.9472222222222222,0.7777777777777778,0.8933333333333333,0.8861111111111111,0.5925925925925926,0.8533333333333334,0.9433333333333334,0.8571428571428571,0.9466666666666667,0.8738888888888889,0.6666666666666666,0.88,0.7333333333333333,0.7288359788359788,0.9117777777777778,0.9155555555555556,0.6428571428571429,0.8666666666666667,0.9577777777777777,0.7647058823529411,0.8933333333333333,0.8711111111111112,0.5161290322580645,0.8,0.9555555555555556,0.8571428571428571,0.9466666666666667,0.8088888888888889,0.5517241379310345,0.8266666666666667,0.6666666666666666,0.666511810508408,0.9017777777777779,0.8966666666666667,0.6857142857142857,0.8533333333333334,0.9038888888888889,0.6,0.7866666666666666,0.778888888888889,0.46153846153846156,0.8133333333333334,0.8961111111111113,0.8275862068965517,0.9333333333333333,0.7933333333333334,0.3,0.8133333333333334,0.6,0.5749677908298597,0.8537777777777779
0.8555555555555555,0.5625,0.8133333333333334,0.8077777777777777,0.5128205128205128,0.7466666666666667,0.8066666666666666,0.4166666666666667,0.8133333333333334,0.9066666666666667,0.7333333333333333,0.8933333333333333,0.6755555555555556,0.24,0.7466666666666667,0.5066666666666667,0.4930641025641025,0.8104444444444445,0.7416666666666667,0.5806451612903226,0.8266666666666667,0.7916666666666666,0.6666666666666666,0.8666666666666667,0.5916666666666667,0.3448275862068966,0.7466666666666667,0.8083333333333332,0.7142857142857143,0.8933333333333333,0.65,0.4375,0.76,0.5466666666666666,0.54878502568992,0.7166666666666666,0.8955555555555555,0.5185185185185185,0.8266666666666667,0.8627777777777778,0.5142857142857142,0.7733333333333333,0.8244444444444443,0.6060606060606061,0.8266666666666667,0.9516666666666667,0.7586206896551724,0.9066666666666666,0.7266666666666667,0.38461538461538464,0.7866666666666666,0.56,0.5564201826270792,0.8522222222222222,0.8588888888888889,0.5454545454545454,0.8,0.8222222222222222,0.5,0.76,0.8111111111111111,0.4,0.8,0.9066666666666667,0.7142857142857143,0.8933333333333333,0.6477777777777778,0.2857142857142857,0.7333333333333333,0.49333333333333335,0.4890909090909091,0.8093333333333333,0.8544444444444443,0.5625,0.8133333333333334,0.7788888888888889,0.47368421052631576,0.7333333333333333,0.7533333333333333,0.42857142857142855,0.7866666666666666,0.945,0.7586206896551724,0.9066666666666666,0.5666666666666667,0.2608695652173913,0.7733333333333333,0.5066666666666667,0.49684917879406154,0.7796666666666667
