acc_0,f1_0,auc_0,acc_1,f1_1,auc_1,acc_2,f1_2,auc_2,acc_3,f1_3,auc_3,acc_4,f1_4,auc_4,acc_all,f1_all,auc_all
0.9166666666666667,0.6896551724137931,0.88,0.9388888888888889,0.7142857142857143,0.8933333333333333,0.8755555555555556,0.5454545454545454,0.8,1.0,0.967741935483871,0.9866666666666667,0.9866666666666667,0.896551724137931,0.96,0.76,0.762737818355171,0.9435555555555556
0.9488888888888889,0.8,0.92,0.9533333333333334,0.7142857142857143,0.8933333333333333,0.9033333333333333,0.625,0.84,1.0,1.0,1.0,0.9877777777777778,0.8666666666666667,0.9466666666666667,0.8,0.8011904761904762,0.9586666666666666
0.9166666666666667,0.6666666666666666,0.8666666666666667,0.9544444444444444,0.7407407407407407,0.9066666666666666,0.8811111111111112,0.5806451612903226,0.8266666666666667,1.0,0.967741935483871,0.9866666666666667,0.99,0.9032258064516129,0.96,0.7733333333333333,0.7718040621266428,0.9484444444444445
0.918888888888889,0.8,0.9066666666666666,0.98,0.8666666666666667,0.9466666666666667,0.8922222222222222,0.6086956521739131,0.88,1.0,0.9655172413793104,0.9866666666666667,0.9733333333333334,0.8484848484848485,0.9333333333333333,0.8266666666666667,0.8178728817409479,0.952888888888889
0.9133333333333333,0.7058823529411765,0.8666666666666667,0.9844444444444445,0.8125,0.92,0.8622222222222222,0.43478260869565216,0.8266666666666667,0.9988888888888888,0.9333333333333333,0.9733333333333334,0.9688888888888889,0.7741935483870968,0.9066666666666666,0.7466666666666667,0.7321383686714518,0.9455555555555556
0.9277777777777778,0.8,0.9066666666666666,0.98,0.8387096774193549,0.9333333333333333,0.8844444444444444,0.6086956521739131,0.88,1.0,1.0,1.0,0.9744444444444444,0.8387096774193549,0.9333333333333333,0.8266666666666667,0.8172230014025246,0.9533333333333334
0.9577777777777778,0.8235294117647058,0.92,0.9688888888888889,0.8275862068965517,0.9333333333333333,0.8511111111111112,0.5384615384615384,0.84,0.981111111111111,0.9032258064516129,0.96,0.9277777777777778,0.6666666666666666,0.8666666666666667,0.76,0.7518939260482151,0.9373333333333334
0.9555555555555555,0.717948717948718,0.8533333333333334,0.97,0.8125,0.92,0.8633333333333333,0.2222222222222222,0.8133333333333334,0.99,0.9032258064516129,0.96,0.9244444444444444,0.6666666666666666,0.8666666666666667,0.7066666666666667,0.664512682657844,0.9406666666666667
0.9577777777777778,0.8235294117647058,0.92,0.971111111111111,0.8275862068965517,0.9333333333333333,0.8533333333333334,0.5384615384615384,0.84,0.9733333333333333,0.9032258064516129,0.96,0.9222222222222223,0.6666666666666666,0.8666666666666667,0.76,0.7518939260482151,0.9355555555555556
0.9311111111111111,0.6666666666666666,0.84,0.98,0.8,0.92,0.8933333333333333,0.36363636363636365,0.8133333333333334,0.9977777777777778,0.9333333333333333,0.9733333333333334,0.971111111111111,0.75,0.8933333333333333,0.72,0.7027272727272728,0.9546666666666667
0.9377777777777778,0.7428571428571429,0.88,0.9733333333333334,0.7586206896551724,0.9066666666666666,0.8933333333333334,0.5,0.84,0.9977777777777778,0.9090909090909091,0.96,0.9633333333333334,0.8275862068965517,0.9333333333333333,0.76,0.7476309896999552,0.9531111111111112
0.9211111111111111,0.7647058823529411,0.8933333333333333,0.9833333333333333,0.8275862068965517,0.9333333333333333,0.8788888888888889,0.56,0.8533333333333334,1.0,0.9375,0.9733333333333334,0.97,0.8,0.92,0.7866666666666666,0.7779584178498986,0.9506666666666665
0.9455555555555555,0.717948717948718,0.8533333333333334,0.9655555555555555,0.7142857142857143,0.8933333333333333,0.8333333333333334,0.25,0.76,0.9922222222222222,0.9285714285714286,0.9733333333333334,0.9844444444444445,0.8387096774193549,0.9333333333333333,0.7066666666666667,0.6899031076450431,0.9442222222222222
0.9488888888888889,0.7647058823529411,0.8933333333333333,0.9566666666666666,0.6896551724137931,0.88,0.8655555555555556,0.5925925925925926,0.8533333333333334,0.9911111111111112,0.9655172413793104,0.9866666666666667,0.9844444444444445,0.8387096774193549,0.9333333333333333,0.7733333333333333,0.7702361132315985,0.9493333333333333
0.9311111111111111,0.7428571428571429,0.88,0.9299999999999999,0.7333333333333333,0.8933333333333333,0.8211111111111111,0.4,0.8,0.9944444444444445,0.9333333333333333,0.9733333333333334,0.9866666666666666,0.8666666666666667,0.9466666666666667,0.7466666666666667,0.7352380952380952,0.9326666666666666
