acc_0,f1_0,auc_0,acc_1,f1_1,auc_1,acc_2,f1_2,auc_2,acc_3,f1_3,auc_3,acc_4,f1_4,auc_4,acc_all,f1_all,auc_all
0.9555555555555555,0.8,0.92,0.9744444444444444,0.8571428571428571,0.9466666666666667,0.8988888888888888,0.7096774193548387,0.88,1.0,1.0,1.0,0.9911111111111112,0.9032258064516129,0.96,0.8533333333333334,0.8540092165898617,0.9640000000000001
0.9477777777777777,0.8,0.92,0.98,0.875,0.9466666666666667,0.8777777777777779,0.6896551724137931,0.88,1.0,1.0,1.0,0.9955555555555555,0.896551724137931,0.96,0.8533333333333334,0.8522413793103449,0.9602222222222222
0.9433333333333334,0.6666666666666666,0.88,0.981111111111111,0.875,0.9466666666666667,0.8744444444444445,0.625,0.84,1.0,1.0,1.0,0.9944444444444444,0.896551724137931,0.96,0.8133333333333334,0.8126436781609195,0.9586666666666666
0.9266666666666666,0.8,0.9066666666666666,0.9166666666666667,0.8,0.92,0.8711111111111112,0.6086956521739131,0.88,1.0,1.0,1.0,0.9766666666666667,0.875,0.9466666666666667,0.8266666666666667,0.8167391304347827,0.9382222222222222
0.9366666666666668,0.8,0.9066666666666666,0.9133333333333333,0.8,0.92,0.8833333333333333,0.6086956521739131,0.88,1.0,0.967741935483871,0.9866666666666667,0.9755555555555555,0.9032258064516129,0.96,0.8266666666666667,0.8159326788218794,0.9417777777777777
0.9166666666666667,0.7027027027027027,0.8533333333333334,0.8900000000000001,0.7741935483870968,0.9066666666666666,0.8277777777777777,0.38095238095238093,0.8266666666666667,1.0,1.0,1.0,0.9755555555555556,0.9032258064516129,0.96,0.7733333333333333,0.7522148876987587,0.922
0.9199999999999999,0.7096774193548387,0.88,0.96,0.875,0.9466666666666667,0.8711111111111111,0.56,0.8533333333333334,0.9933333333333333,0.9032258064516129,0.96,0.9677777777777777,0.8387096774193549,0.9333333333333333,0.7866666666666666,0.7773225806451614,0.9424444444444443
0.9133333333333333,0.7096774193548387,0.88,0.9722222222222222,0.896551724137931,0.96,0.8622222222222222,0.6153846153846154,0.8666666666666667,0.9922222222222222,0.9032258064516129,0.96,0.9622222222222223,0.8484848484848485,0.9333333333333333,0.8,0.7946648827627694,0.9404444444444444
0.8822222222222222,0.6875,0.8666666666666667,0.9777777777777779,0.8275862068965517,0.9333333333333333,0.8633333333333333,0.48,0.8266666666666667,0.9966666666666666,0.9032258064516129,0.96,0.97,0.8484848484848485,0.9333333333333333,0.76,0.7493593723666027,0.9380000000000001
0.9011111111111112,0.7586206896551724,0.9066666666666666,0.9622222222222222,0.8387096774193549,0.9333333333333333,0.9188888888888889,0.7333333333333333,0.8933333333333333,1.0,0.9655172413793104,0.9866666666666667,0.9444444444444443,0.8387096774193549,0.9333333333333333,0.8266666666666667,0.8269781238413051,0.9453333333333334
0.9055555555555556,0.7333333333333333,0.8933333333333333,0.9755555555555555,0.875,0.9466666666666667,0.9211111111111112,0.7333333333333333,0.8933333333333333,0.9988888888888888,0.9655172413793104,0.9866666666666667,0.9566666666666666,0.896551724137931,0.96,0.84,0.8407471264367817,0.9515555555555555
0.8866666666666666,0.6875,0.8666666666666667,0.9666666666666667,0.8125,0.92,0.9322222222222223,0.6923076923076923,0.8933333333333333,0.9977777777777778,0.9655172413793104,0.9866666666666667,0.9566666666666667,0.8387096774193549,0.9333333333333333,0.8,0.7993069222212716,0.9480000000000001
0.9233333333333333,0.6875,0.8666666666666667,0.9488888888888888,0.8571428571428571,0.9466666666666667,0.8566666666666667,0.5161290322580645,0.8,0.9977777777777778,0.9333333333333333,0.9733333333333334,0.9844444444444445,0.896551724137931,0.96,0.7733333333333333,0.7781313893744373,0.9422222222222223
0.9288888888888889,0.6875,0.8666666666666667,0.9244444444444444,0.8275862068965517,0.9333333333333333,0.8522222222222222,0.5161290322580645,0.8,0.9966666666666667,0.9333333333333333,0.9733333333333334,0.9855555555555555,0.9285714285714286,0.9733333333333334,0.7733333333333333,0.7786240002118756,0.9375555555555556
0.9233333333333333,0.6666666666666666,0.8533333333333334,0.9133333333333333,0.7586206896551724,0.9066666666666666,0.8666666666666666,0.4444444444444444,0.8,0.9977777777777778,0.9333333333333333,0.9733333333333334,0.9844444444444445,0.8387096774193549,0.9333333333333333,0.7333333333333333,0.7283549623037944,0.937111111111111
